stock,strike,maturity,spot,vol,div_yield,price,delta,gamma,theta,vega,moneyness
MCD,190.0,0.9,250.0,0.15,0.025,58.16521284612591,0.9537672343615837,0.0015809064050109265,0.0034080506406881936,0.13338897792279691,0.76
MCD,190.0,1.0,250.0,0.15,0.025,58.049382684070025,0.9454112787020059,0.0018016369961437776,0.002947878737384422,0.1689034683884792,0.76
MCD,200.0,0.1,250.0,0.15,0.025,49.77538366220932,0.997501931314491,4.935315527106858e-07,0.0061425700630528815,4.6268583066626795e-06,0.8
MCD,200.0,0.2,250.0,0.15,0.025,49.553340015628635,0.9946032091256729,8.799074318312728e-05,0.005951924165531585,0.0016498264346836364,0.8
MCD,200.0,0.30000000000000004,250.0,0.15,0.025,49.34789357437387,0.9894682577547045,0.00045309376522382615,0.005219757917829741,0.012743262146920113,0.8
MCD,200.0,0.4,250.0,0.15,0.025,49.176267223482085,0.981444508613765,0.0009841365581892078,0.004159890308931672,0.036905120932095296,0.8
MCD,200.0,0.5,250.0,0.15,0.025,49.044477261312636,0.9713312892728995,0.0015266974237248196,0.003072861728111954,0.07156394173710093,0.8
MCD,200.0,0.6,250.0,0.15,0.025,48.95054571465067,0.9600681135610853,0.0020101244558005113,0.0020978830089305087,0.11306950063877878,0.8
MCD,200.0,0.7000000000000001,250.0,0.15,0.025,48.889489228845235,0.9483353090548474,0.002415701581522745,0.0012730650585952988,0.15853041628743017,0.8
MCD,200.0,0.8,250.0,0.15,0.025,48.85583155825307,0.9365600476939783,0.0027462290041167987,0.0005941764993504353,0.20596717530875988,0.8
MCD,200.0,0.9,250.0,0.15,0.025,48.84456021881951,0.9249927100466653,0.0030114828905122727,4.296762888569831e-05,0.254093868886973,0.8
MCD,200.0,1.0,250.0,0.15,0.025,48.851394578023616,0.9137715223818215,0.0032223513873913573,-0.00040129732800492807,0.30209544256793974,0.8
MCD,210.0,0.1,250.0,0.15,0.025,39.795685548991855,0.9973907767243944,3.7231269225366776e-05,0.005524586152633548,0.0003490431489878135,0.84
MCD,210.0,0.2,250.0,0.15,0.025,39.614983593061226,0.9906088510849405,0.0007694429116963936,0.00408094846145445,0.014427054594307381,0.84
MCD,210.0,0.30000000000000004,250.0,0.15,0.025,39.50780874172523,0.9766703563535801,0.0019318630522712867,0.0017880901688992615,0.05433364834512996,0.84
MCD,210.0,0.4,250.0,0.15,0.025,39.48029233258271,0.9592128257368921,0.0029300027766947585,-0.00019598992750885608,0.10987510412605346,0.84
MCD,210.0,0.5,250.0,0.15,0.025,39.51583141361792,0.941027462177462,0.003664209442268765,-0.0016706748167151758,0.17175981760634837,0.84
