spot,time,delta,gamma,theta
84.54545454545455,1.0538461538461539,0.3106328271218804,0.01617658056763475,-0.010410062670831824
84.54545454545455,1.0910256410256411,0.3155182686270768,0.016000848097948404,-0.01030613195023136
84.54545454545455,1.1282051282051282,0.32021659414909687,0.015828614391950116,-0.010203985609135852
84.54545454545455,1.1653846153846155,0.32474020141087834,0.015659937524958156,-0.010103686553541678
84.54545454545455,1.2025641025641025,0.32910035451021347,0.01549483877012609,-0.010005272504368766
84.54545454545455,1.2397435897435898,0.33330731308697803,0.01533331100843828,-0.00990876146002287
84.54545454545455,1.276923076923077,0.33737044415450107,0.015175325333647568,-0.009814156010525028
84.54545454545455,1.314102564102564,0.3412983192346821,0.01502083625351837,-0.009721446755704771
84.54545454545455,1.3512820512820514,0.3450987989933009,0.014869785794263249,-0.009630615020945402
84.54545454545455,1.3884615384615384,0.3487791072088475,0.014722106744211002,-0.009541635019643082
84.54545454545455,1.4256410256410257,0.35234589560996105,0.014577725219254541,-0.009454475578018226
84.54545454545455,1.462820512820513,0.35580530087095014,0.014436562691988829,-0.009369101512402719
84.54545454545455,1.5,0.3591629948520135,0.01429853759539058,-0.009285474729590319
85.45454545454545,0.05,0.002759332808365328,0.0017760384152927617,-0.001116648014523499
85.45454545454545,0.08717948717948718,0.01871333526272864,0.007253214500166613,-0.004576311774751259
85.45454545454545,0.12435897435897436,0.04223435990988343,0.01195088672762885,-0.007563846267262859
85.45454545454545,0.16153846153846152,0.06695365968284496,0.015104016022871352,-0.009586664584148643
85.45454545454545,0.19871794871794873,0.0904501454219161,0.017106230900513893,-0.010885836371533278
85.45454545454545,0.2358974358974359,0.11203526656553658,0.018349052590778615,-0.01170497634987183
85.45454545454545,0.27307692307692305,0.13164674598116816,0.019098353365784825,-0.012210455961533336
85.45454545454545,0.31025641025641026,0.1494311477740959,0.01952391580718064,-0.012508959104688194
85.45454545454545,0.3474358974358974,0.16559005514397182,0.019734067093913916,-0.012668811861578396
85.45454545454545,0.3846153846153846,0.18032429000111927,0.01979899109930103,-0.01273444964352969
85.45454545454545,0.4217948717948718,0.19381531682891728,0.019765039142129168,-0.012735335085841546
85.45454545454545,0.45897435897435895,0.2062208743836154,0.019663407292568647,-0.012691381930472182
85.45454545454545,0.4961538461538461,0.21767588894595397,0.01951545616090786,-0.012616288923975809
85.45454545454545,0.5333333333333333,0.22829511402672506,0.019336033403431388,-0.01251962705547342
85.45454545454545,0.5705128205128206,0.23817609246691435,0.019135591811153957,-0.012408173284123523
85.45454545454545,0.6076923076923078,0.24740191615462329,0.01892156723021608,-0.012286780224809347
85.45454545454545,0.6448717948717949,0.2560436201700688,0.01869929230157853,-0.012158954236372043
85.45454545454545,0.6820512820512821,0.26416219344085545,0.018472613226481093,-0.012027246584728195
85.45454545454545,0.7192307692307692,0.2718102417328486,0.01824431289075842,-0.011893522482889727
85.45454545454545,0.7564102564102565,0.2790333540869638,0.018016405466094402,-0.01175914891463373
85.45454545454545,0.7935897435897437,0.28587122357433964,0.017790344295541043,-0.011625127549287616
85.45454545454545,0.8307692307692308,0.2923585674155497,0.017567170378734773,-0.011492189965021922
85.45454545454545,0.867948717948718,0.29852588431592814,0.017347619597681888,-0.011360866634652104
85.45454545454545,0.9051282051282051,0.3044000800025787,0.01713220091516867,-0.011231537410574054
85.45454545454545,0.9423076923076923,0.31000498599149784,0.016921253910532858,-0.011104468808831352
85.45454545454545,0.9794871794871796,0.31536179167374134,0.01671499144798247,-0.010979841770934985
85.45454545454545,1.0166666666666666,0.3204894058088831,0.01651353154121813,-0.010857772487876189
85.45454545454545,1.0538461538461539,0.3254047603134632,0.016316921296053437,-0.01073832812261411
85.45454545454545,1.0910256410256411,0.3301230666871371,0.016125154995808806,-0.010621538749452496
85.45454545454545,1.1282051282051282,0.3346580334001929,0.015938187823217556,-0.010507406466135683
85.45454545454545,1.1653846153846155,0.33902205096421817,0.015755946309155527,-0.01039591237790611
85.45454545454545,1.2025641025641025,0.3432263501347983,0.015578336310648358,-0.010287021969365614
85.45454545454545,1.2397435897435898,0.3472811376810863,0.01540524911330155,-0.0101806892476647
