scenario,spot,strike,maturity,vol,price,delta,gamma,theta,vega,moneyness
Normal,100,120,1.0,0.15,1.1541763731112695,0.15693285892045994,0.016016145647482136,-0.005733146782795712,0.240242184712232,1.2
Declining_20pct,80,80,0.1,0.25,2.6006816313083334,0.5258440055120437,0.06294590890103263,-0.03665347549698529,0.10071345424165223,1.0
Declining_20pct,80,80,0.25,0.25,4.17956262114906,0.5408200935748513,0.03968520815791833,-0.023887020627069717,0.15874083263167332,1.0
Declining_20pct,80,80,0.5,0.25,6.013477099130277,0.5576275455577764,0.02791465479801786,-0.017410590384968245,0.2233172383841429,1.0
Declining_20pct,80,80,1.0,0.25,8.696446792446075,0.5812139374874482,0.019532348181005264,-0.012773926028306983,0.31251757089608423,1.0
Declining_20pct,80,90,0.1,0.25,0.21270536104075344,0.0770751379629776,0.022851811198055984,-0.012847748912688072,0.03656289791688958,1.125
Declining_20pct,80,90,0.25,0.25,1.056903722934928,0.20052028097330493,0.02803993167292377,-0.01618542660187217,0.11215972669169506,1.125
Declining_20pct,80,90,0.5,0.25,2.47271686568822,0.3010703419284375,0.024625153140115486,-0.014677503665191324,0.1970012251209239,1.125
Declining_20pct,80,90,1.0,0.25,4.885972462139886,0.3950687205524081,0.019253085113986195,-0.012013719250515876,0.3080493618237792,1.125
Declining_20pct,80,100,0.1,0.25,0.005422198413174845,0.002910116610758018,0.0014074927377649856,-0.0007836884661971137,0.002251988380423977,1.25
Declining_20pct,80,100,0.25,0.25,0.18228625726601955,0.04622158710006086,0.00968500502866983,-0.005499478958763679,0.03874002011467932,1.25
Declining_20pct,80,100,0.5,0.25,0.8700284941022858,0.13192584506162064,0.015111269843459105,-0.008810780139474981,0.12089015874767284,1.25
Declining_20pct,80,100,1.0,0.25,2.59067638695797,0.24586047828437102,0.015747873312175493,-0.009564761369728583,0.25196597299480783,1.25
Declining_20pct,80,110,0.1,0.25,5.223389708562806e-05,3.6955783668468634e-05,2.4486961645387407e-05,-1.3576649054809092e-05,3.917913863261985e-05,1.375
Declining_20pct,80,110,0.25,0.25,0.022856466125984465,0.0072399999359743505,0.002007523080030397,-0.001130497223509914,0.008030092320121586,1.375
Declining_20pct,80,110,0.5,0.25,0.26948117668410454,0.04881136969967159,0.007154055582294364,-0.004119232012177165,0.05723244465835492,1.375
Declining_20pct,80,110,1.0,0.25,1.312326488557165,0.14257653648627155,0.011267267049679133,-0.006726929694637583,0.18027627279486613,1.375
Declining_20pct,80,120,0.1,0.25,2.3617081996150065e-07,2.053326628170815e-07,1.7039365944621454e-07,-9.42535362557562e-08,2.7262985511394327e-07,1.5
Declining_20pct,80,120,0.25,0.25,0.002228282030755993,0.0008412255077088204,0.00028724992936640865,-0.00016096268779452252,0.0011489997174656346,1.5
Declining_20pct,80,120,0.5,0.25,0.07550642078038883,0.015829089206999547,0.0028044345686799926,-0.0016019269261687394,0.02243547654943994,1.5
Declining_20pct,80,120,1.0,0.25,0.6419315511314938,0.07826186842470895,0.00731069050571598,-0.004313749204383837,0.11697104809145568,1.5
Declining_40pct,60,80,0.1,0.35,0.01189019760550486,0.005771426284255088,0.0024736700677944383,-0.0015126908425689577,0.003116824285420992,1.3333333333333333
Declining_40pct,60,80,0.25,0.35,0.27032282561383125,0.06327785659823737,0.01182617327657288,-0.007337529257232679,0.03725244582120457,1.3333333333333333
Declining_40pct,60,80,0.5,0.35,1.1150312949407937,0.15907632895530016,0.016323488213762106,-0.010323068821868737,0.10283797574670128,1.3333333333333333
Declining_40pct,60,80,1.0,0.35,3.042031924800451,0.27766038622302636,0.01596436092573828,-0.01039039290163538,0.20115094766430233,1.3333333333333333
Declining_40pct,60,90,0.1,0.35,0.00026364866137677107,0.00016533943857777178,9.551609094882604e-05,-5.8231321663786114e-05,0.00012035027459552083,1.5
Declining_40pct,60,90,0.25,0.35,0.048442892680512384,0.01387254168475932,0.0033720558620626124,-0.002080045232199745,0.01062197596549723,1.5
Declining_40pct,60,90,0.5,0.35,0.4202709113387404,0.07021701694430832,0.009063628117638852,-0.005683246580947292,0.05710085714112477,1.5
Declining_40pct,60,90,1.0,0.35,1.7253357678055146,0.17713754579399815,0.012369721979981338,-0.007960498729267322,0.15585849694776485,1.5
